,hidro_level_m1,precip_acumu_sm,hidro_level_sm
2023-04-02 12:00:00,2.62,0.0,8.56
2023-04-02 15:00:00,2.13,0.0,8.53
2023-04-02 18:00:00,1.23,0.0,8.27
2023-04-02 21:00:00,1.69,0.0,7.98
2023-04-03 00:00:00,2.63,5.25,7.98
2023-04-03 03:00:00,2.19,0.0,8.2
2023-04-03 06:00:00,1.13,0.0,8.24
2023-04-03 09:00:00,1.52,0.0,8.12
2023-04-03 12:00:00,2.72,0.0,7.93
2023-04-03 15:00:00,2.5,0.0,7.74
2023-04-03 18:00:00,1.27,0.0,7.56
2023-04-03 21:00:00,1.37,0.0,7.38
2023-04-04 00:00:00,2.59,0.0,7.3
2023-04-04 03:00:00,2.52,0.0,7.78
2023-04-04 06:00:00,1.22,0.0,8.17
2023-04-04 09:00:00,1.23,0.0,8.3
2023-04-04 12:00:00,2.61,0.21,8.16
2023-04-04 15:00:00,2.78,0.0,7.85
2023-04-04 18:00:00,1.38,0.0,7.59
2023-04-04 21:00:00,1.06,0.0,7.5
2023-04-05 00:00:00,2.4,0.0,7.5
2023-04-05 03:00:00,2.77,0.0,7.82
2023-04-05 06:00:00,1.38,0.0,8.21
2023-04-05 09:00:00,0.98,0.0,8.31
2023-04-05 12:00:00,2.44,0.0,8.13
2023-04-05 15:00:00,3.04,0.0,7.78
2023-04-05 18:00:00,1.6,0.0,7.47
2023-04-05 21:00:00,0.82,0.0,7.31
2023-04-06 00:00:00,2.17,0.0,7.13
2023-04-06 03:00:00,2.99,1.02,7.39
2023-04-06 06:00:00,1.7,0.76,8.1
2023-04-06 09:00:00,0.83,0.0,8.36
2023-04-06 12:00:00,2.16,0.0,8.47
2023-04-06 15:00:00,3.21,0.15,8.53
2023-04-06 18:00:00,1.92,0.0,8.49
2023-04-06 21:00:00,0.71,0.0,8.23
2023-04-07 00:00:00,1.86,0.0,7.88
2023-04-07 03:00:00,3.14,0.0,7.74
2023-04-07 06:00:00,2.02,0.0,7.77
2023-04-07 09:00:00,0.78,0.0,7.74
2023-04-07 12:00:00,1.88,0.0,7.63
2023-04-07 15:00:00,3.3,9.0,7.49
2023-04-07 18:00:00,2.24,0.0,7.32
2023-04-07 21:00:00,0.68,0.0,7.13
2023-04-08 00:00:00,1.49,0.0,6.98
2023-04-08 03:00:00,3.09,0.0,6.88
2023-04-08 06:00:00,2.37,0.0,6.8
2023-04-08 09:00:00,0.86,0.0,6.73
2023-04-08 12:00:00,1.53,0.0,6.68
2023-04-08 15:00:00,3.19,0.0,6.65
2023-04-08 18:00:00,2.59,0.0,6.67
2023-04-08 21:00:00,0.82,0.0,6.58
2023-04-09 00:00:00,1.14,0.0,6.5
2023-04-09 03:00:00,2.9,0.0,6.43
2023-04-09 06:00:00,2.67,0.0,6.4
2023-04-09 09:00:00,1.03,0.0,6.4
2023-04-09 12:00:00,1.2,0.06,6.4
2023-04-09 15:00:00,2.93,0.0,6.38
2023-04-09 18:00:00,2.87,0.0,6.31
2023-04-09 21:00:00,1.07,0.0,6.24
2023-04-10 00:00:00,0.85,0.0,6.17
2023-04-10 03:00:00,2.53,0.0,6.14
2023-04-10 06:00:00,2.91,0.0,6.12
2023-04-10 09:00:00,1.39,0.0,6.51
2023-04-10 12:00:00,1.04,0.0,7.2
2023-04-10 15:00:00,2.61,0.0,7.12
2023-04-10 18:00:00,3.07,0.0,6.79
2023-04-10 21:00:00,1.5,0.0,6.49
2023-04-11 00:00:00,0.77,0.0,6.29
2023-04-11 03:00:00,2.15,0.0,6.19
